표준링크ID,시작노드ID,종료노드ID,차로수,도로등급코드,도로등급코드명,도로유형코드,도로유형코드명,도로번호,도로명,도로사용여부코드,도로사용코드명,중용구간여부코드,중용구간여부코드명,연결로코드,연결로코드명,최고제한속도,통행제한차량코드,통행제한차량코드명,통과제한하중,통과제한높이,지도거리,버스전용차로여부,버스전용차로운영코드,링크ID,표준링크순서
1240041200,1240017600,1240003700,2,104,특별.광역시도,000,일반도로,-,구천면로,0,사용,0,독립구간,000,연결로 아님,40,0,모두통행가능,0,0,38.0,,,1040011800,3
1240041900,1240017600,1240018000,1,104,특별.광역시도,003,교량,-,구천면로,0,사용,0,독립구간,000,연결로 아님,40,0,모두통행가능,0,0,590.0,,,1040011900,2
1240042000,1040019400,1240017600,1,104,특별.광역시도,003,교량,-,구천면로,0,사용,0,독립구간,000,연결로 아님,40,0,모두통행가능,0,0,1270.0,,,1040011800,2
1240042200,1240000700,1240019400,4,102,도시고속국도,000,일반도로,-,올림픽대로,0,사용,0,독립구간,000,연결로 아님,80,0,모두통행가능,0,0,821.0,,,1240002000,1
1240042301,1240032400,1240000700,4,102,도시고속국도,000,일반도로,-,올림픽대로,0,사용,0,독립구간,000,연결로 아님,80,0,모두통행가능,0,0,439.0,,,1240001900,3
1240042302,1240020000,1240032400,4,102,도시고속국도,000,일반도로,-,올림픽대로,0,사용,0,독립구간,000,연결로 아님,80,0,모두통행가능,0,0,370.0,,,1240001900,2
1240043200,1240018600,2270003900,4,103,일반국도,000,일반도로,-,천호대로,0,사용,0,독립구간,000,연결로 아님,60,0,모두통행가능,0,0,118.0,,,2270009200,1
1240045100,1240019400,1240021000,4,102,도시고속국도,000,일반도로,-,올림픽대로,0,사용,0,독립구간,000,연결로 아님,80,0,모두통행가능,0,0,303.0,,,1240002000,2
1240045200,1240001200,1240020000,4,102,도시고속국도,000,일반도로,-,올림픽대로,0,사용,0,독립구간,000,연결로 아님,80,0,모두통행가능,0,0,423.0,,,1240001900,1
1240048300,1240023600,1240001400,2,104,특별.광역시도,000,일반도로,-,올림픽대로,1,미사용,0,독립구간,000,연결로 아님,60,0,모두통행가능,0,0,101.0,,,1240021800,1
1240048400,1240001400,1240023600,2,104,특별.광역시도,000,일반도로,-,올림픽대로,0,사용,0,독립구간,000,연결로 아님,60,0,모두통행가능,0,0,101.0,,,1240021700,4
1240049000,1240025100,1240001200,4,102,도시고속국도,000,일반도로,-,올림픽대로,0,사용,0,독립구간,000,연결로 아님,80,0,모두통행가능,0,0,978.0,,,1240003100,1
1110008603,1110012700,1110012900,2,104,특별.광역시도,000,일반도로,-,은평로,0,사용,0,독립구간,000,연결로 아님,60,0,모두통행가능,0,0,201.0,,,1110008600,3
1240055001,1240090200,1240090700,4,102,도시고속국도,000,일반도로,-,올림픽대로,0,사용,0,독립구간,000,연결로 아님,80,0,모두통행가능,0,0,585.0,,,1240003700,1
